title,type,genres,imdb_score,tmdb_popularity
Pyar Ke Do Pal,MOVIE,"['drama', 'action']",6.1,1.756
Sohni Mahiwal,MOVIE,"['romance', 'drama', 'action']",6.1,6.052
Ek Jaan Hain Hum,MOVIE,"['family', 'romance']",6.3,0.986
An Egyptian Story,MOVIE,"['drama', 'fantasy']",7.3,1.77
The Little Wars,MOVIE,"['war', 'drama', 'european']",6.3,1.956
Unspeakable Acts,MOVIE,['drama'],6.1,2.075
Survivor,SHOW,['reality'],7.4,54.19
Mission: Impossible,MOVIE,"['thriller', 'action']",7.1,41.115
Stargate SG-1,SHOW,"['scifi', 'drama', 'action']",8.4,88.851
Se7en,MOVIE,"['crime', 'thriller', 'drama']",8.6,51.633
Pokémon,SHOW,"['action', 'scifi', 'animation', 'comedy', 'fantasy', 'family']",7.4,115.356
Boogie Nights,MOVIE,['drama'],7.9,20.436
Forrest Gump,MOVIE,"['drama', 'romance']",8.8,63.449
Snatch,MOVIE,"['crime', 'comedy']",8.3,25.203
The Talented Mr. Ripley,MOVIE,"['thriller', 'drama', 'crime']",7.4,13.78
One Piece,SHOW,"['animation', 'action', 'comedy', 'drama', 'fantasy']",8.8,143.457
The Challenge,SHOW,"['reality', 'comedy', 'drama', 'scifi']",7.8,18.075
Titanic,MOVIE,"['drama', 'romance']",7.9,155.683
Cowboy Bebop,SHOW,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",8.9,35.402
Starship Troopers,MOVIE,"['scifi', 'action', 'thriller']",7.3,29.5
Mission: Impossible II,MOVIE,"['thriller', 'action']",6.1,29.392
Dumb and Dumber,MOVIE,['comedy'],7.3,31.852
Neon Genesis Evangelion,SHOW,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",8.5,49.27
Gattaca,MOVIE,"['scifi', 'thriller', 'romance', 'drama']",7.8,17.789
Léon: The Professional,MOVIE,"['crime', 'drama', 'action', 'thriller', 'european']",8.5,51.406
Gilmore Girls,SHOW,"['comedy', 'drama']",8.2,58.578
Natural Born Killers,MOVIE,"['thriller', 'drama', 'crime', 'action']",7.3,21.933
The Quick and the Dead,MOVIE,"['action', 'thriller', 'western', 'romance']",6.5,13.056
You've Got Mail,MOVIE,"['comedy', 'romance', 'drama']",6.7,21.724
Power Rangers,SHOW,"['action', 'scifi', 'fantasy', 'family']",6.5,19.699
Big Daddy,MOVIE,"['drama', 'comedy', 'european']",6.4,26.848
Vampires,MOVIE,"['fantasy', 'action', 'horror', 'thriller']",6.1,10.108
Yu-Gi-Oh!,SHOW,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",7.3,33.504
Donnie Brasco,MOVIE,"['drama', 'thriller', 'crime']",7.7,22.225
The Magic School Bus,SHOW,"['animation', 'scifi', 'comedy', 'family', 'fantasy']",7.8,16.83
Goosebumps,SHOW,"['scifi', 'thriller', 'family', 'fantasy', 'horror', 'music']",7.6,63.687
InuYasha,SHOW,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",7.9,62.355
A River Runs Through It,MOVIE,['drama'],7.2,19.58
"Girl, Interrupted",MOVIE,"['drama', 'european']",7.3,20.424
Last Action Hero,MOVIE,"['action', 'fantasy', 'comedy', 'family']",6.4,22.196
All That,SHOW,"['comedy', 'family', 'music']",7.5,6.688
My Girl,MOVIE,"['drama', 'family', 'romance', 'comedy', 'european']",6.9,20.545
Wyatt Earp,MOVIE,"['western', 'crime', 'action', 'drama']",6.7,14.677
Eraser,MOVIE,"['thriller', 'action', 'drama', 'crime']",6.1,19.437
Neon Genesis Evangelion: The End of Evangelion,MOVIE,"['action', 'drama', 'animation', 'scifi', 'fantasy']",8.0,32.569
Vegas Vacation,MOVIE,['comedy'],5.9,12.537
In the Line of Fire,MOVIE,"['drama', 'thriller', 'crime', 'action']",7.2,19.8
Little Women,MOVIE,"['drama', 'romance', 'family']",7.3,13.683
U.S. Marshals,MOVIE,"['thriller', 'crime', 'action']",6.5,24.205
Barney & Friends,SHOW,"['comedy', 'family']",3.8,14.641
Anaconda,MOVIE,"['horror', 'thriller', 'action']",4.8,34.405
Kenan & Kel,SHOW,"['family', 'comedy']",7.8,33.544
The Replacements,MOVIE,"['comedy', 'sport']",6.6,30.982
Seven Years in Tibet,MOVIE,"['action', 'drama', 'history', 'war']",7.1,13.766
The Net,MOVIE,"['thriller', 'action', 'crime', 'drama']",5.9,15.935
Cliffhanger,MOVIE,"['action', 'thriller', 'comedy', 'animation']",6.5,27.78
Menace II Society,MOVIE,"['drama', 'crime', 'thriller']",7.5,13.928
Johnny Mnemonic,MOVIE,"['action', 'drama', 'scifi', 'thriller']",5.6,10.75
3 Ninjas Kick Back,MOVIE,"['comedy', 'family', 'action', 'sport']",4.5,12.603
Edge of Seventeen,MOVIE,"['romance', 'drama', 'comedy']",6.8,6.276
My First Errand,SHOW,"['documentation', 'family', 'reality']",,7.73
The Devil's Own,MOVIE,"['crime', 'thriller', 'drama', 'action', 'european']",6.2,12.863
Cardcaptor Sakura,SHOW,"['scifi', 'animation', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance']",8.0,35.757
Spawn,MOVIE,"['scifi', 'action', 'drama', 'horror']",5.2,16.989
Adventures of Sonic the Hedgehog,SHOW,"['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy', 'western']",6.2,13.313
Croupier,MOVIE,"['drama', 'european', 'crime']",7.0,8.381
Girlfriends,SHOW,"['drama', 'comedy']",7.2,12.163
The Next Karate Kid,MOVIE,"['action', 'drama', 'family', 'sport', 'romance']",4.5,20.185
Geronimo: An American Legend,MOVIE,"['western', 'history', 'drama']",6.5,8.136
Double Team,MOVIE,"['action', 'scifi', 'comedy', 'thriller']",4.8,14.599
Heavy,MOVIE,"['drama', 'romance']",6.8,3.308
The Players Club,MOVIE,"['comedy', 'drama']",5.9,9.25
The Parkers,SHOW,['comedy'],6.8,5.745
"Sister, Sister",SHOW,"['comedy', 'drama', 'family']",6.2,21.489
Moesha,SHOW,"['drama', 'comedy', 'family']",5.8,10.901
Heartbreak High,SHOW,"['drama', 'romance', 'comedy']",7.8,7.222
Oggy and the Cockroaches,SHOW,"['animation', 'comedy', 'family', 'action', 'european']",7.4,40.189
Kuch Kuch Hota Hai,MOVIE,"['romance', 'comedy', 'drama']",7.6,12.35
Children of God,MOVIE,['documentation'],6.3,0.685
