title,type,genres,imdb_score,tmdb_popularity
Intersection,SHOW,['drama'],6.5,15.226
No Tomorrow,SHOW,"['comedy', 'drama', 'romance', 'thriller']",7.1,7.687
Drishyam,MOVIE,"['thriller', 'crime', 'drama']",8.2,9.208
Taxi Driver,MOVIE,"['comedy', 'crime', 'drama']",6.0,1.191
Skylanders Academy,SHOW,"['action', 'animation', 'comedy', 'family', 'fantasy']",6.5,14.848
The Dreamseller,MOVIE,['drama'],6.0,11.071
Tales by Light,SHOW,['documentation'],8.3,3.565
Lavender,MOVIE,"['drama', 'thriller']",5.3,11.319
Ali Wong: Baby Cobra,MOVIE,['comedy'],7.5,6.367
Hyena Road,MOVIE,"['drama', 'thriller', 'war', 'action']",6.5,9.363
Septembers of Shiraz,MOVIE,"['drama', 'thriller', 'western']",7.9,8.065
A Very Murray Christmas,MOVIE,"['comedy', 'music']",5.5,9.185
Divines,MOVIE,"['drama', 'crime', 'european']",7.4,9.632
Kuromukuro,SHOW,"['comedy', 'drama', 'animation', 'action', 'scifi']",7.2,6.887
Audrie & Daisy,MOVIE,"['documentation', 'crime']",7.2,5.6
Hip Hop Evolution,SHOW,"['documentation', 'music']",8.4,4.48
Chef's Table: France,SHOW,['documentation'],8.2,4.096
Project Mc²,SHOW,['family'],5.8,5.445
Always Be My Maybe,MOVIE,"['comedy', 'romance']",6.6,2.434
Pandora,MOVIE,"['thriller', 'drama', 'action']",6.6,27.496
Nightmare Teacher,SHOW,"['drama', 'horror', 'thriller']",7.1,5.677
Keith Richards: Under the Influence,MOVIE,"['documentation', 'music']",7.1,5.383
"Surviving Compton: Dre, Suge and Michel'le",MOVIE,"['drama', 'documentation']",6.5,2.138
Colin Quinn: The New York Story,MOVIE,['comedy'],6.9,2.917
Secrets of Great British Castles,SHOW,"['documentation', 'history', 'european']",7.8,3.459
Hawaizaada,MOVIE,"['history', 'drama', 'fantasy']",5.5,3.027
Rainbow Ruby,SHOW,"['family', 'fantasy', 'animation', 'comedy']",6.6,12.713
Riot,MOVIE,['action'],5.1,12.429
Simon,SHOW,"['comedy', 'family', 'animation']",7.0,3.507
Richie Rich,SHOW,['comedy'],3.0,9.491
Kevin Hart: What Now?,MOVIE,"['comedy', 'documentation']",5.9,10.176
Legends of the Hidden Temple,MOVIE,"['action', 'family']",5.6,3.528
Marseille,SHOW,"['drama', 'european']",6.8,8.888
Veteran,MOVIE,"['comedy', 'crime', 'action', 'thriller']",7.0,9.614
Opening Night,MOVIE,"['comedy', 'thriller', 'drama', 'crime', 'action']",6.0,7.809
Raman Raghav 2.0,MOVIE,"['crime', 'thriller', 'drama']",7.4,6.61
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,MOVIE,"['action', 'comedy', 'crime', 'european']",6.3,7.299
Another Miss Oh,SHOW,"['comedy', 'drama', 'family', 'fantasy', 'romance']",7.8,17.289
6 Years,MOVIE,"['drama', 'romance']",5.6,7.652
Paquita Salas,SHOW,"['comedy', 'european']",8.0,7.93
Unnatural Selection,SHOW,"['reality', 'documentation', 'comedy']",8.1,2.736
Shaun the Sheep: The Farmer's Llamas,MOVIE,"['comedy', 'family', 'animation']",6.8,8.513
Un + une,MOVIE,"['comedy', 'romance', 'drama', 'european']",6.2,4.579
Ok Kanmani,MOVIE,"['romance', 'drama']",7.4,4.318
True Memoirs of an International Assassin,MOVIE,"['action', 'comedy', 'crime']",5.9,16.152
H20: Mermaid Adventures,SHOW,"['animation', 'family', 'comedy', 'drama', 'fantasy', 'romance', 'european']",5.7,8.908
High & Low The Movie,MOVIE,['action'],6.4,2.513
Dear My Friends,SHOW,"['comedy', 'drama']",8.2,4.766
Strange Weather,MOVIE,['drama'],6.0,9.634
The Sound of Your Heart,SHOW,"['comedy', 'drama', 'animation']",8.2,5.877
The Lighthouse of the Orcas,MOVIE,"['drama', 'romance', 'european']",6.7,10.09
The Good Cop,SHOW,"['comedy', 'drama']",7.6,1.542
Servant Of The People 2,MOVIE,"['comedy', 'family']",6.2,6.053
Sons of the Caliphate,SHOW,['drama'],7.4,1.347
Kathleen Madigan: Bothering Jesus,MOVIE,['comedy'],,1.646
Heneral Luna,MOVIE,"['comedy', 'action', 'drama', 'history', 'war']",7.3,3.448
Ordinary World,MOVIE,"['comedy', 'drama', 'family', 'music']",5.5,5.993
El Chema,SHOW,"['crime', 'action']",6.9,112.717
Mohenjo Daro,MOVIE,"['action', 'drama', 'history', 'romance']",5.6,8.73
Captive,SHOW,"['documentation', 'drama', 'european']",6.8,4.18
Dil Dhadakne Do,MOVIE,"['drama', 'family', 'romance', 'comedy']",7.0,8.46
"Hello, My Twenties!",SHOW,"['comedy', 'drama', 'romance']",8.3,14.835
Haters Back Off,SHOW,"['comedy', 'drama', 'family', 'romance']",5.9,7.102
Toro,MOVIE,"['drama', 'crime', 'thriller', 'action', 'european']",5.9,8.146
Good Morning Call,SHOW,"['comedy', 'drama', 'romance']",7.5,15.259
Witch Hunt: A Century of Murder,SHOW,"['documentation', 'crime', 'history', 'drama', 'fantasy', 'european']",7.1,0.6
Riphagen the Untouchable,MOVIE,"['thriller', 'drama', 'war', 'european']",7.1,8.67
Gabbar Is Back,MOVIE,"['drama', 'action', 'crime', 'comedy']",7.1,7.397
Demetri Martin: Live (At The Time),MOVIE,"['comedy', 'documentation']",7.4,2.887
4K Fireplace,MOVIE,"['family', 'reality']",7.7,0.738
Spotless,SHOW,"['crime', 'comedy', 'drama', 'european']",7.7,6.213
7 Years,MOVIE,"['drama', 'european']",6.7,6.603
Cheer Squad,SHOW,['reality'],7.2,1.168
Talvar,MOVIE,"['thriller', 'drama', 'crime']",8.1,9.212
Brothers,MOVIE,"['family', 'action', 'drama', 'sport']",6.4,5.554
Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,MOVIE,"['comedy', 'documentation']",7.4,3.047
Fartsa,SHOW,"['drama', 'crime']",6.7,2.722
The Paper,SHOW,"['drama', 'crime', 'action']",7.4,3.809
Pyaar Ka Punchnama 2,MOVIE,"['drama', 'romance', 'comedy']",7.3,3.924
Much Loved,MOVIE,"['drama', 'european']",6.2,5.794
Word Party,SHOW,"['family', 'animation']",5.5,2.382
Ralphie May: Unruly,MOVIE,['comedy'],,2.349
A Second Chance,MOVIE,"['drama', 'romance', 'family', 'documentation', 'sport']",8.6,2.752
Rebirth,MOVIE,['thriller'],4.9,8.68
Lang Tong,MOVIE,['thriller'],4.8,3.909
Manson Family Vacation,MOVIE,"['comedy', 'drama', 'thriller']",5.8,6.451
Popples,SHOW,"['family', 'animation']",6.0,3.292
Gridlocked,MOVIE,['action'],5.8,14.458
StoryBots Super Songs,SHOW,"['animation', 'family']",8.7,0.6
Jimmy Carr: Funny Business,MOVIE,['comedy'],7.2,5.549
Aziz Ansari: Live at Madison Square Garden,MOVIE,['comedy'],6.6,4.73
The Next Skin,MOVIE,"['drama', 'thriller', 'european']",6.2,5.453
Chris Tucker: Live,MOVIE,"['comedy', 'documentation']",6.3,5.362
"Dana Carvey: Straight White Male, 60",MOVIE,['comedy'],6.5,2.747
Justin Timberlake + The Tennessee Kids,MOVIE,"['music', 'documentation']",7.6,3.257
Russell Peters: Almost Famous,MOVIE,['comedy'],6.6,2.156
Sin senos sí hay paraíso,SHOW,"['action', 'drama', 'romance', 'crime']",6.5,243.868
Colin Quinn: Unconstitutional,MOVIE,['comedy'],7.1,2.333
Jim Jefferies: Freedumb,MOVIE,"['comedy', 'documentation']",7.7,4.802
Asperger's Are Us,MOVIE,"['documentation', 'comedy', 'drama']",6.6,2.227
Tony Robbins: I Am Not Your Guru,MOVIE,['documentation'],6.6,6.569
Hunterrr,MOVIE,"['romance', 'drama', 'comedy']",7.0,2.332
Belgica,MOVIE,"['drama', 'european']",6.7,4.889
Chelsea,SHOW,['comedy'],6.0,16.004
Kapoor & Sons,MOVIE,"['drama', 'romance', 'comedy', 'family']",7.7,8.129
Udta Punjab,MOVIE,"['drama', 'action', 'crime']",7.7,8.861
Tamasha,MOVIE,"['drama', 'comedy', 'romance']",7.3,6.88
Mossad 101,SHOW,"['action', 'drama']",6.7,5.022
Breaking the Bank,MOVIE,['comedy'],4.8,3.056
All About Asado,MOVIE,['documentation'],6.5,1.802
Vanished 46,SHOW,"['drama', 'action', 'scifi', 'crime', 'thriller']",8.2,2.184
Chronically Metropolitan,MOVIE,"['comedy', 'drama']",4.9,3.964
The Miracle,SHOW,"['drama', 'comedy', 'fantasy', 'music']",6.3,11.974
Fate/Grand Order: First Order,MOVIE,"['action', 'fantasy', 'animation']",5.7,12.341
White Nights,SHOW,['drama'],6.9,5.348
Toon,SHOW,['comedy'],7.6,2.503
Hannibal Buress: Comedy Camisado,MOVIE,['comedy'],6.6,4.087
Anjelah Johnson: Not Fancy,MOVIE,"['comedy', 'documentation']",5.7,2.405
72 Cutest Animals,SHOW,['documentation'],5.7,2.719
Force 2,MOVIE,"['action', 'crime', 'thriller']",6.2,5.209
Fitoor,MOVIE,"['romance', 'drama']",5.4,5.517
Triumph in the Skies,MOVIE,"['comedy', 'drama', 'romance']",4.3,1.835
In the Shadow of Iris,MOVIE,"['thriller', 'drama', 'crime', 'european']",6.1,8.117
The White Helmets,MOVIE,"['documentation', 'war']",,5.399
Mucize,MOVIE,"['drama', 'comedy', 'romance', 'documentation', 'european']",7.6,6.24
The Ivory Game,MOVIE,"['documentation', 'european']",7.9,3.919
Our Lovers,MOVIE,"['romance', 'comedy', 'drama', 'european']",6.7,17.857
If I were an Animal,SHOW,['documentation'],,0.903
Home: Adventures with Tip & Oh,SHOW,"['comedy', 'scifi', 'animation', 'family', 'fantasy']",6.0,6.585
Beauty and the Bestie,MOVIE,"['action', 'comedy', 'drama']",4.6,2.213
A Touch of Green,SHOW,"['drama', 'war']",8.4,4.43
Tom Segura: Mostly Stories,MOVIE,"['comedy', 'documentation']",7.5,2.89
Hibana: Spark,SHOW,['drama'],7.9,2.29
Dhanak,MOVIE,"['drama', 'comedy']",7.9,2.918
Jonah,MOVIE,"['drama', 'thriller', 'romance', 'family']",5.4,3.125
Chocolate City: Vegas Strip,MOVIE,['drama'],3.7,4.126
I'll Sleep When I'm Dead,MOVIE,['documentation'],6.6,3.096
The Truth Seekers,SHOW,"['drama', 'action']",7.1,0.672
Atelier,SHOW,"['drama', 'documentation', 'comedy']",6.3,2.932
Project Marathwada,MOVIE,['drama'],6.5,1.147
ABCD 2,MOVIE,"['music', 'drama']",5.4,4.913
My Runway,SHOW,"['comedy', 'drama', 'fantasy', 'romance']",6.3,10.522
Ali Baba and the 7 Dwarfs,MOVIE,"['action', 'comedy', 'drama']",5.6,3.728
Te3n,MOVIE,"['thriller', 'drama']",7.3,10.676
"Chatô, The King of Brazil",MOVIE,"['drama', 'comedy', 'history']",5.4,2.234
The Guardian Brothers,MOVIE,"['animation', 'family', 'fantasy', 'comedy']",5.4,16.724
Budhia Singh: Born to Run,MOVIE,"['drama', 'sport']",7.6,1.495
72 Dangerous Places to Live,SHOW,['documentation'],6.2,1.849
Mercy,MOVIE,"['thriller', 'drama']",4.1,7.517
City of Joy,MOVIE,"['documentation', 'thriller', 'war', 'crime', 'drama']",7.5,1.239
XOXO,MOVIE,"['music', 'drama']",5.3,16.887
Layla M.,MOVIE,"['drama', 'european']",6.6,2.458
Open Season: Scared Silly,MOVIE,"['action', 'animation', 'comedy', 'family']",,24.391
Jessica Darling's It List,MOVIE,['family'],5.4,9.284
Garfunkel and Oates: Trying to be Special,MOVIE,"['comedy', 'music']",7.3,3.186
Slam,MOVIE,"['comedy', 'romance', 'drama', 'european']",6.1,11.308
The Blind Christ,MOVIE,['drama'],5.8,6.235
Shaandaar,MOVIE,"['comedy', 'romance', 'drama']",3.6,3.961
Kulipari: An Army of Frogs,SHOW,"['action', 'animation', 'fantasy']",6.8,3.954
Rainbow Time,MOVIE,"['drama', 'comedy']",5.9,3.352
Kazoops!,SHOW,"['animation', 'comedy', 'family', 'fantasy']",7.4,2.376
Little Things,SHOW,"['drama', 'romance', 'comedy']",8.2,6.822
The Flower of Aleppo,MOVIE,"['drama', 'action', 'war']",5.4,1.4
The Worthy,MOVIE,"['thriller', 'action', 'scifi', 'fantasy', 'family', 'european']",5.1,5.348
The Princess Weiyoung,SHOW,"['drama', 'history', 'romance']",7.7,10.875
Terrace House: Aloha State,SHOW,"['reality', 'drama']",7.4,6.928
You Are My Sunday,MOVIE,"['drama', 'comedy']",7.7,1.728
Black,MOVIE,['action'],4.3,0.6
The Lion Woman,MOVIE,"['drama', 'european']",6.6,17.587
Trailer Park Boys: Out of the Park: Europe,SHOW,"['action', 'drama', 'comedy', 'crime']",7.0,5.537
7:19,MOVIE,"['history', 'thriller', 'drama']",5.8,8.11
Chasing Cameron,SHOW,['reality'],3.5,2.452
Cosmos Laundromat,MOVIE,"['animation', 'comedy', 'fantasy', 'scifi']",,2.371
Schubert in Love,MOVIE,"['comedy', 'european']",5.0,3.314
Frank and Cindy,MOVIE,"['comedy', 'drama']",6.1,2.311
Dharam Sankat Mein,MOVIE,"['comedy', 'drama', 'family', 'fantasy', 'thriller']",6.3,3.51
Old Money,SHOW,"['comedy', 'drama', 'european']",7.3,2.488
Coach Snoop,SHOW,['documentation'],6.7,2.881
Stories by Rabindranath Tagore,SHOW,['drama'],8.7,3.572
Puerto Ricans in Paris,MOVIE,['comedy'],5.3,5.176
Love O2O,MOVIE,"['comedy', 'romance', 'drama']",6.4,7.811
Fifty,MOVIE,"['drama', 'romance', 'sport', 'thriller']",6.0,2.484
Три кота,SHOW,"['animation', 'scifi', 'comedy', 'family']",7.0,0.662
"Liar, Liar, Vampire",MOVIE,"['comedy', 'family']",5.7,9.086
The Governor,SHOW,['drama'],7.3,
Patton Oswalt: Talking for Clapping,MOVIE,"['comedy', 'documentation']",6.7,3.337
Selfie 69,MOVIE,"['comedy', 'action', 'romance', 'european']",6.1,4.445
LEGO Friends: The Power of Friendship,SHOW,['animation'],6.7,7.272
Ricardo O'Farrill: Abrazo Genial,MOVIE,['comedy'],5.5,1.481
My Mother's Wound,MOVIE,"['drama', 'thriller', 'war']",7.3,4.392
Iliza Shlesinger: Confirmed Kills,MOVIE,['comedy'],6.6,5.957
Umrika,MOVIE,"['comedy', 'drama']",6.6,2.265
Journey to Greenland,MOVIE,"['drama', 'comedy', 'european']",6.3,3.262
One More Time,SHOW,"['scifi', 'drama', 'fantasy']",6.8,3.778
Michael Che Matters,MOVIE,['comedy'],7.2,3.242
'76,MOVIE,"['romance', 'drama']",5.6,2.062
Halal Love,MOVIE,"['romance', 'drama', 'comedy', 'european']",6.3,1.352
100 Meters,MOVIE,"['drama', 'comedy', 'european']",7.5,8.137
Brent Morin: I'm Brent Morin,MOVIE,['comedy'],6.5,1.929
Joe Rogan: Triggered,MOVIE,"['comedy', 'documentation']",7.4,3.272
Kyaa Kool Hain Hum 3,MOVIE,['comedy'],1.9,4.658
Olmo and the Seagull,MOVIE,"['drama', 'european', 'romance', 'family', 'documentation']",7.2,2.034
The Beginning of Life,MOVIE,"['documentation', 'family']",7.5,1.134
Offline: Are You Ready for the Next Level?,MOVIE,"['action', 'comedy', 'european']",5.0,16.734
Bill Hicks: Reflections,MOVIE,['documentation'],,2.465
Phantom,MOVIE,"['thriller', 'action', 'drama', 'crime', 'horror', 'european']",5.9,3.083
Unchained fate,SHOW,"['scifi', 'drama']",,0.855
MindGamers,MOVIE,"['action', 'scifi', 'thriller', 'european']",3.6,1.593
David Cross: Making America Great Again,MOVIE,['comedy'],6.5,2.286
Jeff Dunham: Unhinged in Hollywood,MOVIE,['comedy'],6.7,1.77
Barcelona: A Love Untold,MOVIE,"['romance', 'drama']",6.6,3.331
Dinosaur World,MOVIE,"['animation', 'comedy', 'drama']",,
Luna Petunia,SHOW,"['animation', 'family', 'fantasy']",6.3,1.722
Sofía Niño de Rivera: Exposed,MOVIE,['comedy'],7.3,2.632
The Doll,MOVIE,"['thriller', 'horror']",5.2,6.038
U Turn,MOVIE,"['horror', 'thriller', 'crime', 'drama']",7.5,2.982
I Love You,MOVIE,"['comedy', 'drama', 'romance', 'european']",4.7,2.205
Very Big Shot,MOVIE,"['action', 'drama', 'thriller', 'crime']",6.9,1.669
Fearless,SHOW,"['documentation', 'reality']",7.0,3.34
The Heirs,MOVIE,['drama'],5.7,1.309
Barakah Meets Barakah,MOVIE,"['romance', 'comedy']",6.3,2.115
Bottersnikes & Gumbles,SHOW,"['action', 'family', 'animation', 'comedy']",5.2,1.49
Pettson and Findus: The Best Christmas Ever,MOVIE,"['family', 'animation', 'comedy', 'fantasy', 'european']",5.5,2.616
Iliza Shlesinger: Freezing Hot,MOVIE,"['comedy', 'documentation']",6.8,3.345
Katti Batti,MOVIE,"['comedy', 'romance', 'drama']",4.6,1.508
My Sunshine,SHOW,"['drama', 'romance']",6.5,6.79
Mike Epps: Don't Take It Personal,MOVIE,['comedy'],4.4,2.565
Ghost Patrol,MOVIE,"['thriller', 'animation', 'family']",5.1,2.149
Bangistan,MOVIE,"['comedy', 'drama']",4.5,4.372
Ludo,MOVIE,"['horror', 'thriller', 'fantasy']",2.8,3.316
Born in Syria,MOVIE,"['documentation', 'european']",7.7,2.143
Theo Von: No Offense,MOVIE,"['comedy', 'documentation']",5.6,2.294
Ricardo O'Farrill: abrazo navideño,MOVIE,['comedy'],5.7,1.235
"Trailer Park Boys: Drunk, High and Unemployed: Live In Austin",MOVIE,['comedy'],6.5,2.368
#Rucker50,MOVIE,['documentation'],5.2,1.645
The Breakup Playlist,MOVIE,"['romance', 'drama', 'music']",6.5,1.875
Thomas & Friends: Full Steam To The Rescue!,MOVIE,['family'],,0.957
S Storm,MOVIE,"['thriller', 'drama', 'crime', 'action']",5.1,2.201
HiGH&LOW: The Red Rain,MOVIE,"['action', 'drama']",6.1,2.529
The Massively Mixed-Up Middle School Mystery,MOVIE,"['comedy', 'thriller']",7.3,2.528
Those who fear are dead,MOVIE,['drama'],3.6,0.763
Poshter Girl,MOVIE,['comedy'],6.6,1.611
3000 Nights,MOVIE,['drama'],7.0,2.069
Wazir,MOVIE,"['thriller', 'crime', 'drama', 'action']",7.2,5.319
Motu Patlu: King Of Kings,MOVIE,"['animation', 'action', 'comedy']",6.5,2.208
The Love Affair,MOVIE,"['romance', 'drama']",6.3,1.539
Everyday I Love You,MOVIE,"['romance', 'drama']",7.0,1.504
Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking,MOVIE,['comedy'],5.9,1.921
Spark,SHOW,['drama'],7.0,1.4
The CEO,MOVIE,"['drama', 'thriller']",5.6,2.017
Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),MOVIE,['comedy'],6.8,2.027
Pac’s Scary Halloween,MOVIE,[],,1.989
Love Storm,SHOW,['family'],5.5,2.334
Reggie Watts: Spatial,MOVIE,"['comedy', 'music']",6.0,1.945
Close Your Eyes Before It's Dark,SHOW,"['thriller', 'crime', 'drama']",7.0,2.265
Best Lover,SHOW,"['drama', 'romance']",6.8,3.482
Aerials,MOVIE,"['thriller', 'drama', 'scifi']",1.5,1.81
Chhota Bheem in African Safari,MOVIE,['animation'],6.5,
Meet The in-Laws,MOVIE,['comedy'],6.0,1.512
Brother Jekwu,MOVIE,"['comedy', 'crime']",,1.4
Hans Teeuwen: Echte Rancune,MOVIE,['comedy'],,0.724
Chris D'Elia: Incorrigible,MOVIE,"['comedy', 'documentation']",6.4,2.593
Miss in Kiss,SHOW,"['comedy', 'drama']",7.7,2.05
Ordinary People,MOVIE,['drama'],7.3,2.117
"Have You Ever Fallen in Love, Miss Jiang?",SHOW,['drama'],,1.365
Couple Of Days,MOVIE,['drama'],6.4,0.671
Kara Bela,MOVIE,"['comedy', 'action', 'drama']",6.7,3.656
Vince & Kath & James,MOVIE,['romance'],6.8,1.936
Santa Pac's Merry Berry Day,MOVIE,"['animation', 'comedy', 'action']",,1.605
Carlos Ballarta: el amor es de putos,MOVIE,['comedy'],7.0,3.487
Sen Benim HerŞeyimsin,MOVIE,['comedy'],6.2,3.082
Saawan,MOVIE,"['thriller', 'drama']",7.3,2.513
A Chaster Marriage,MOVIE,"['comedy', 'romance', 'family']",5.4,1.508
Misunderstanding,MOVIE,"['action', 'comedy', 'romance']",4.3,1.441
Eddie: Strongman,MOVIE,['documentation'],7.4,1.814
Extremis,MOVIE,['documentation'],,4.355
Cedric the Entertainer: Live from the Ville,MOVIE,['comedy'],6.2,1.519
Wedding Association 2: Circumcision,MOVIE,['comedy'],6.3,3.703
One in a Billion,MOVIE,['documentation'],6.7,1.674
Brahman Naman,MOVIE,['comedy'],5.5,2.608
XV Beyond the Tryline,MOVIE,"['documentation', 'sport']",6.8,1.278
Virunga: Gorillas in Peril,MOVIE,['documentation'],6.6,1.46
Santa Banta Pvt Ltd,MOVIE,"['comedy', 'action', 'crime', 'drama']",2.7,2.241
Jada,MOVIE,"['drama', 'sport']",5.4,0.886
Grandmother's Farm Part 2,MOVIE,"['horror', 'thriller', 'comedy']",5.4,
Dieter Nuhr: Nuhr in Berlin,MOVIE,"['comedy', 'european']",4.7,1.004
Ave Maria,MOVIE,['comedy'],,2.209
Niyazi Gül Dörtnala,MOVIE,"['comedy', 'drama', 'action']",4.5,2.395
Sila Samayangalil,MOVIE,['drama'],5.8,2.974
Secret of Success,SHOW,['drama'],,0.846
Love Is a Story,MOVIE,"['romance', 'european', 'comedy']",6.0,1.654
Motu Patlu Aur Khazaane Ki Race,MOVIE,"['animation', 'action', 'comedy']",,
Husband Factor,MOVIE,"['comedy', 'romance', 'drama', 'fantasy']",6.2,4.497
Husband Factor: Resurrection,MOVIE,"['comedy', 'family', 'romance', 'drama', 'fantasy']",5.3,2.76
The Tour,MOVIE,"['comedy', 'documentation', 'european']",,0.6
The Super Parental Guardians,MOVIE,['comedy'],4.4,1.339
Oloibiri,MOVIE,"['thriller', 'action', 'drama']",5.1,1.396
Sam Kinison: The Scream Continues,MOVIE,['documentation'],6.1,0.632
Gang of the Caribbean,MOVIE,"['thriller', 'european']",5.1,3.637
Kiss of Life,MOVIE,"['romance', 'comedy', 'drama']",5.9,1.511
Souk Bazaar,MOVIE,['comedy'],5.2,1.672
Everything About Her,MOVIE,"['drama', 'comedy']",7.2,2.11
The Creative Indians,SHOW,['documentation'],8.3,0.6
Saudi Arabia Uncovered,MOVIE,['documentation'],,1.781
A Man Returned,MOVIE,['documentation'],,1.21
Road To High & Low,MOVIE,"['action', 'drama']",6.6,4.102
Back to 1989,SHOW,"['scifi', 'drama']",8.0,0.688
The Arbitration,MOVIE,"['drama', 'comedy']",5.0,1.811
The Last Egg,MOVIE,"['comedy', 'romance', 'drama']",4.8,1.02
Jandino: Whatever it Takes,MOVIE,['comedy'],4.5,1.4
Gbomo Gbomo Express,MOVIE,"['drama', 'crime']",5.0,0.714
Janoskians: Untold and Untrue,MOVIE,['comedy'],3.7,1.889
The Dream Job,SHOW,"['drama', 'family']",6.1,0.6
Crazy Beautiful You,MOVIE,"['drama', 'romance', 'comedy']",7.0,2.393
Tariqi: My Way,SHOW,"['drama', 'music']",7.1,
Mind Game,SHOW,"['action', 'crime', 'drama']",7.5,
Snervous Tyler Oakley,MOVIE,['documentation'],5.4,2.707
Sommore: The Reign Continues,MOVIE,['comedy'],7.0,0.956
Hajwala: The Missing Engine,MOVIE,"['drama', 'action', 'crime', 'sport', 'thriller']",2.0,1.389
Just the Way You Are,MOVIE,"['comedy', 'drama', 'romance']",6.3,2.177
Dedemin Fişi,MOVIE,"['comedy', 'family']",5.5,3.847
The Unmarried Wife,MOVIE,"['drama', 'romance']",5.9,1.812
Bibik Bibikku,SHOW,"['drama', 'comedy']",,1.674
My Stupid Boss,MOVIE,"['comedy', 'drama']",7.1,2.471
The Third Party,MOVIE,"['comedy', 'romance']",6.1,2.802
Ojukokoro (Greed),MOVIE,"['thriller', 'comedy', 'crime']",6.6,0.954
Lakeeran,MOVIE,['drama'],6.3,0.712
,MOVIE,[],,
Time Out,MOVIE,"['drama', 'animation', 'family', 'music']",6.0,1.167
Derry Girls,SHOW,['comedy'],8.4,16.567
The Sinner,SHOW,"['crime', 'drama', 'thriller']",7.9,51.938
Leave No Trace,MOVIE,['drama'],7.1,14.795
Ozark,SHOW,"['drama', 'crime', 'thriller']",8.5,146.805
Blade Runner 2049,MOVIE,"['scifi', 'action', 'drama', 'thriller']",8.0,67.788
Dark,SHOW,"['scifi', 'crime', 'drama', 'thriller']",8.7,164.601
12 Strong,MOVIE,"['drama', 'action', 'war', 'history']",6.5,67.199
It,MOVIE,"['horror', 'fantasy', 'thriller']",7.3,95.827
Legacies,SHOW,"['drama', 'scifi', 'fantasy', 'horror']",7.2,230.337
Manifest,SHOW,"['drama', 'thriller', 'scifi']",7.1,145.572
Riverdale,SHOW,"['crime', 'drama', 'thriller', 'romance']",6.6,341.862
Wind River,MOVIE,"['thriller', 'crime', 'drama', 'western']",7.7,26.743
Sorry to Bother You,MOVIE,"['scifi', 'fantasy', 'comedy', 'drama']",6.9,10.334
Dunkirk,MOVIE,"['drama', 'war', 'action', 'thriller', 'history', 'european']",7.8,36.684
Cobra Kai,SHOW,"['action', 'drama', 'sport', 'comedy']",8.5,331.306
Vice,MOVIE,"['comedy', 'drama', 'documentation']",7.2,16.962
Mindhunter,SHOW,"['drama', 'crime', 'thriller']",8.6,37.904
Phantom Thread,MOVIE,"['drama', 'romance']",7.4,14.833
Money Heist,SHOW,"['thriller', 'action', 'crime', 'drama', 'european']",8.2,1.4
All American,SHOW,"['drama', 'sport']",7.6,33.102
You,SHOW,"['crime', 'drama', 'thriller', 'romance']",7.7,85.558
Molly's Game,MOVIE,"['drama', 'crime', 'sport']",7.4,25.929
Den of Thieves,MOVIE,"['thriller', 'crime', 'drama', 'action']",7.0,47.326
Lost in Space,SHOW,"['drama', 'scifi', 'action', 'thriller', 'family']",7.3,55.052
Bodyguard,SHOW,"['war', 'drama', 'thriller', 'crime', 'european']",8.1,19.085
Rise of the Teenage Mutant Ninja Turtles,SHOW,"['action', 'comedy', 'drama', 'scifi', 'family', 'fantasy', 'animation']",4.9,17.577
American Vandal,SHOW,"['crime', 'comedy', 'drama']",8.1,17.642
Godless,SHOW,"['drama', 'western', 'documentation', 'action', 'crime']",7.6,16.273
Somebody Feed Phil,SHOW,['documentation'],8.2,9.24
Manhunt,SHOW,"['crime', 'drama', 'thriller']",8.1,18.55
The Haunting of Hill House,SHOW,"['thriller', 'drama', 'horror']",8.6,50.336
CHiPS,MOVIE,"['action', 'comedy', 'crime']",6.0,34.887
The Ballad of Buster Scruggs,MOVIE,"['western', 'comedy', 'drama', 'romance']",7.3,32.555
Babylon Berlin,SHOW,"['drama', 'thriller', 'crime', 'history', 'european']",8.4,33.053
Altered Carbon,SHOW,"['scifi', 'thriller', 'action', 'drama']",7.9,52.901
Castlevania,SHOW,"['animation', 'drama', 'fantasy', 'horror', 'action']",8.3,50.499
Dirty John,SHOW,"['crime', 'drama']",7.2,15.079
Darkest Hour,MOVIE,"['drama', 'history', 'war', 'thriller', 'family']",7.4,21.927
Dynasty,SHOW,['drama'],7.2,49.457
Won't You Be My Neighbor?,MOVIE,['documentation'],8.4,8.47
Good Girls,SHOW,"['drama', 'crime', 'comedy']",7.7,33.403
HAPPY!,SHOW,"['scifi', 'action', 'comedy', 'crime', 'fantasy', 'thriller']",8.1,13.215
Wet Hot American Summer: Ten Years Later,SHOW,['comedy'],6.9,8.032
Workin' Moms,SHOW,"['comedy', 'drama']",7.7,23.833
Maniac,SHOW,"['scifi', 'comedy', 'drama']",7.7,14.064
Wild Wild Country,SHOW,"['crime', 'documentation']",8.1,9.646
The Ritual,MOVIE,"['thriller', 'horror']",6.3,24.321
Anne with an E,SHOW,"['drama', 'family']",8.7,150.37
Okja,MOVIE,"['scifi', 'fantasy', 'action', 'drama']",7.3,25.911
